time,,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,water_depth_basin2,water_depth_basin3,orifice_setting1,orifice_setting2,orifice_setting3,water_depth_junction4
9/8/2019 6:00,,0,241,241,0,0.081832732,0.043558501,0.052577856,0.142857143,0.142857143,1,0.026232447
9/8/2019 7:00,,0,241,241,0,0.096595246,0.082667391,0.051422028,0.142857143,0.142857143,1,0.025769732
9/8/2019 8:00,,0,241,241,0,0.103775123,0.096572878,0.050397539,0.571428571,0.571428571,1,0.025308026
9/8/2019 9:00,,0,241,241,0,0.036767478,0.041689415,0.049490211,0.142857143,0.571428571,0.142857143,0.024948115
9/8/2019 10:00,,0,241,241,0,0.072962631,0.040947231,0.105434889,1,0.142857143,1,0.024468358
9/8/2019 11:00,,0,241,241,0,0.035756359,0.074063515,0.047849793,0.142857143,0.142857143,1,0.024267187
9/8/2019 12:00,,0,241,241,0,0.068830823,0.084720712,0.046957607,0.142857143,0.142857143,0.571428571,0.023906432
9/8/2019 13:00,,0,241,241,0,0.07855385,0.08907034,0.045686881,0.571428571,0.571428571,0.142857143,0.023550317
9/8/2019 14:00,,0,241,241,0,0.033810377,0.038541286,0.097374468,0.571428571,0.571428571,1,0.023139192
9/8/2019 15:00,,0,241,241,0,0.033227438,0.037885387,0.044701442,0.142857143,0.571428571,0.142857143,0.022979225
9/8/2019 16:00,,0,241,241,0,0.061184728,0.03720598,0.093963264,1,1,0.142857143,0.02257104
9/8/2019 17:00,,0,241,241,0,0.032507648,0.036924478,0.120378641,0.142857143,0.142857143,1,0.022197861
9/8/2019 18:00,,0,241,241,0,0.05775935,0.060941653,0.042681674,0.571428571,1,0.142857143,0.022114908
9/8/2019 19:00,,0,241,241,0,0.031279359,0.035840054,0.08891588,1,1,0.142857143,0.021728167
9/8/2019 20:00,,0,241,241,0,0.031072032,0.035306907,0.113518289,1,0.142857143,0.142857143,0.021381745
9/8/2019 21:00,,0,241,241,0,0.030615222,0.056063018,0.131063974,0.571428571,0.571428571,0.571428571,0.021052769
9/8/2019 22:00,,0,241,241,0,0.029917888,0.034047466,0.053297053,0.142857143,1,1,0.021046593
9/8/2019 23:00,,0,241,241,0,0.049838699,0.033776449,0.039462071,1,1,0.142857143,0.020796526
9/9/2019 0:00,,0,241,241,0,0.029360047,0.033313675,0.081234434,0.571428571,0.571428571,0.571428571,0.02044845
9/9/2019 1:00,,0,241,241,0,0.028702518,0.032612155,0.037979885,1,1,0.571428571,0.020282036
9/9/2019 2:00,,0,241,241,0,0.028547257,0.03240962,0.037377932,1,0.571428571,0.142857143,0.020030344
9/9/2019 3:00,,0,241,241,0,0.028160693,0.031731793,0.076919301,0.142857143,1,0.142857143,0.019711846
9/9/2019 4:00,,0,241,241,0,0.043082455,0.031521496,0.097326444,0.142857143,1,0.571428571,0.019424157
9/9/2019 5:00,,0,241,241,0,0.044578608,0.031087709,0.036008379,1,1,0.571428571,0.01933282
9/9/2019 6:00,,0,241,241,0,0.027095523,0.03070908,0.035303935,1,1,0.142857143,0.019101082
9/9/2019 7:00,,0,241,241,0,0.026731265,0.030324368,0.07178963,1,0.571428571,0.142857143,0.018813781
9/9/2019 8:00,,0,241,241,0,0.026381284,0.0297197,0.090332257,0.142857143,0.571428571,1,0.018555854
9/9/2019 9:00,,0,241,241,0,0.037259253,0.029329169,0.034207224,0.142857143,0.571428571,0.571428571,0.018464159
9/9/2019 10:00,,0,241,241,0,0.037598522,0.028949965,0.033429117,0.142857143,1,1,0.018252675
9/9/2019 11:00,,0,241,241,0,0.036624294,0.028797433,0.03327875,0.142857143,0.142857143,0.142857143,0.018045142
9/9/2019 12:00,,0,241,241,0,0.035451853,0.037142456,0.066088244,0.571428571,0.142857143,0.142857143,0.017787294
9/9/2019 13:00,,0,241,241,0,0.024602946,0.037193786,0.082467895,0.571428571,1,0.142857143,0.017556052
9/9/2019 14:00,,0,241,241,0,0.024293801,0.027803593,0.09359004,0.142857143,1,0.571428571,0.017346646
9/9/2019 15:00,,0,188,230,0.010666875,0.031414207,0.027455601,0.031414026,0.571428571,1,0.571428571,0.01729784
9/9/2019 16:00,,0,134,164,0.006438913,0.023714263,0.027127438,0.0309358,0.142857143,0.571428571,0.571428571,0.01711218
9/9/2019 17:00,,0,80,98,0.005233026,0.029728759,0.026608705,0.030546917,0.142857143,0.142857143,0.571428571,0.016930041
9/9/2019 18:00,,0,26,32,0.005998922,0.029275486,0.031780329,0.03016452,1,0.571428571,0.142857143,0.016749409
9/9/2019 19:00,,0.33678,0,0,0.00489,0.02629463,0.029124053,0.067680813,0.571428571,0.142857143,1,0.016535725
9/9/2019 20:00,,0.25152,0,0,0.005441053,0.028820854,0.056822311,0.037517256,0.142857143,0.571428571,1,0.016503976
9/9/2019 21:00,,0.20376,0,0,0.01311,0.066830406,0.034040392,0.040032663,0.142857143,0.142857143,0.571428571,0.016486516
9/9/2019 22:00,,0.20976,107,131,0.02962623,0.092424172,0.08304226,0.043870312,0.142857143,1,0.142857143,0.016553986
9/9/2019 23:00,,0,53,65,0.032417473,0.105847161,0.038525196,0.111931795,0.571428571,1,1,0.016525563
